Time,Pitch,Roll
5.470,-32.69,-14.19
5.520,-33.21,-17.10
5.570,-33.53,-20.29
5.620,-31.90,-24.17
5.670,-29.87,-27.30
5.720,-27.89,-29.96
5.770,-25.13,-33.49
5.820,-24.09,-34.70
5.870,-21.66,-34.71
5.920,-19.56,-34.34
6.020,-13.80,-28.00
6.070,-9.70,-26.03
6.120,-5.83,-22.04
6.170,-2.65,-18.42
6.220,0.10,-15.07
6.270,2.60,-12.00
6.320,5.17,-9.37
6.370,7.06,-5.18
6.420,7.55,-1.30
6.470,7.11,4.51
6.520,7.09,10.37
6.570,5.23,15.33
6.620,3.83,20.32
6.670,1.93,24.86
6.720,-0.45,28.41
6.770,-2.89,32.00
6.820,-8.21,34.18
6.870,-14.65,35.06
6.920,-18.92,32.26
6.970,-24.17,31.01
7.020,-25.79,28.95
7.070,-27.73,27.53
7.120,-29.32,24.76
7.170,-31.26,23.78
7.220,-32.59,21.78
7.270,-32.42,19.00
7.320,-32.49,17.05
7.430,-28.40,10.74
7.480,-26.02,8.03
7.530,-22.17,-1.00
7.580,-20.64,-5.34
7.630,-19.39,-8.47
7.680,-18.92,-10.64
7.730,-17.53,-12.51
7.780,-14.79,-16.68
7.830,-11.60,-17.11
7.880,-7.65,-18.71
7.930,-6.29,-16.80
7.980,-4.92,-16.12
8.030,-6.09,-12.65
8.080,-3.94,-11.23
8.130,-2.48,-6.03
8.180,-3.04,-0.87
8.230,-1.89,1.87
8.280,-2.45,7.86
8.330,-0.97,11.43
8.380,2.30,14.10
8.430,5.43,12.27
8.480,4.85,13.70
8.530,4.19,14.03
8.580,5.37,13.99
8.630,6.00,14.90
8.680,5.43,14.84
8.730,5.79,15.73
8.840,5.98,16.19
8.890,5.85,15.89
8.940,5.84,15.84
8.990,5.87,15.93
9.040,5.91,15.97
9.090,5.97,16.09
9.140,6.02,16.14
9.190,6.05,16.07
9.240,6.03,15.96
9.290,6.02,15.95
9.340,6.05,16.03
9.390,6.06,16.03
9.440,6.06,16.07
9.490,6.09,16.13
9.540,6.06,16.18
9.590,6.04,16.29
9.640,6.02,16.42
9.690,5.82,16.57
9.740,5.31,16.60
9.790,4.99,17.98
9.840,3.48,12.75
